title,url,year,issue
Rehabilitation of concrete pavements utilizing rubblization: a mechanistic based approach to HMA overlay thickness design,https://www.tandfonline.com/doi/full/10.1080/10298430701201260,2008,1
A new hypothesis for the development of blisters in asphalt pavements,https://www.tandfonline.com/doi/full/10.1080/10298430701204736,2008,1
An alternative approach to pavement roughness evaluation,https://www.tandfonline.com/doi/full/10.1080/10298430600949894,2008,1
Editorial,https://www.tandfonline.com/doi/full/10.1080/10298430701791807,2008,2
"Moisture susceptibility of asphalt mixtures, Part 1: mechanisms",https://www.tandfonline.com/doi/full/10.1080/10298430701792128,2008,2
"Moisture susceptibility of asphalt mixtures, Part 2: characterisation and modelling",https://www.tandfonline.com/doi/full/10.1080/10298430701792144,2008,2
"Modelling of combined physical–mechanical moisture-induced damage in asphaltic mixes, Part 1: governing processes and formulations",https://www.tandfonline.com/doi/full/10.1080/10298430701792185,2008,2
Modelling of combined physical–mechanical moisture-induced damage in asphaltic mixes Part 2: moisture susceptibility parameters,https://www.tandfonline.com/doi/full/10.1080/10298430701792227,2008,2
Simulation of HMA compaction by using FEM,https://www.tandfonline.com/doi/full/10.1080/10298430701538091,2008,3
Ductile fracture assessment of Indonesian wearing course mixtures using critical J integral and crack tip opening angle,https://www.tandfonline.com/doi/full/10.1080/10298430701363110,2008,3
A novel neural network-based asphalt compaction analyzer,https://www.tandfonline.com/doi/full/10.1080/10298430701232018,2008,3
Use of natural pozzolan in stabilising lightweight volcanic aggregates for roadbase construction,https://www.tandfonline.com/doi/full/10.1080/10298430701303173,2008,3
The assessment of coarse granular materials for performance based pavement foundation design,https://www.tandfonline.com/doi/full/10.1080/10298430701409392,2008,3
Influence of water and mica content on resilient properties of coarse granular materials,https://www.tandfonline.com/doi/full/10.1080/10298430701551193,2008,3
List of IJPE's reviewers 2007,https://www.tandfonline.com/doi/full/10.1080/10298430802176064,2008,3
