journal,article_nr,n_chars,n_words
journal_6,5191,60333,8697
journal_6,5192,110739,15977
journal_6,5193,66244,9724
journal_6,5194,102706,13566
journal_6,5195,81164,11691
journal_6,5196,64186,8431
journal_6,5197,68020,9820
journal_6,5198,76544,10747
journal_6,5199,64957,9122
journal_6,52,53095,7621
journal_6,520,29647,4458
journal_6,5200,109005,15380
journal_6,5201,127254,17595
journal_6,5202,79088,11036
journal_6,5203,106219,14727
journal_6,5204,90720,12869
journal_6,5205,41080,6125
journal_6,5206,63732,8746
journal_6,5207,73403,10477
journal_6,5208,117388,17597
journal_6,5209,75049,10553
journal_6,521,35671,5051
journal_6,5210,83381,12106
journal_6,5211,79706,11673
journal_6,5212,107051,14165
journal_6,5213,89615,12122
journal_6,5214,65693,9736
journal_6,5215,60723,8712
journal_6,5216,92339,12985
journal_6,5217,214487,28495
journal_6,5218,90696,12550
journal_6,5219,67738,9833
journal_6,522,43180,6124
journal_6,5220,83649,12050
journal_6,5221,127654,17021
journal_6,5222,85320,12238
journal_6,5223,110855,15874
journal_6,5224,60805,8222
journal_6,5225,78856,11712
journal_6,5226,59187,8367
journal_6,5227,100498,13452
journal_6,5228,74118,10418
journal_6,5229,66349,9302
journal_6,523,52360,7782
journal_6,5230,57436,8317
journal_6,5231,84378,12196
journal_6,5232,42051,6071
journal_6,5233,75874,10941
journal_6,5234,88044,12583
journal_6,5235,60189,8319
journal_6,5236,110474,15304
journal_6,5237,81552,12048
journal_6,5238,86956,11841
journal_6,5239,73056,10642
journal_6,524,31374,4677
journal_6,5240,92721,12760
journal_6,5241,91911,12906
journal_6,5242,78882,11102
journal_6,5243,76853,10425
journal_6,5244,93784,13341
journal_6,5245,96672,13875
journal_6,5246,79948,11183
journal_6,5247,94353,13240
journal_6,5248,142133,19758
journal_6,5249,78753,10442
journal_6,525,28554,4305
journal_6,5250,42006,5975
journal_6,5251,87473,12371
journal_6,5252,81736,11559
journal_6,5253,5467,607
journal_6,5254,9933,1280
journal_6,5255,92271,13250
journal_6,5256,108891,15439
journal_6,5257,79459,11369
journal_6,5258,66943,9627
journal_6,5259,72467,9788
journal_6,526,38478,5638
journal_6,5260,74299,10290
journal_6,5261,96641,13364
journal_6,5262,78977,11232
journal_6,5263,68939,9815
journal_6,5264,54113,8029
journal_6,5265,57998,8090
journal_6,5266,84484,12104
journal_6,5267,94523,13698
journal_6,5268,98656,13456
journal_6,5269,66811,9175
journal_6,527,51870,7624
journal_6,5270,105454,14303
journal_6,5271,79960,11506
journal_6,5272,68427,9669
journal_6,5273,79714,11384
journal_6,5274,95493,13172
journal_6,5275,64812,9317
journal_6,5276,82985,11243
journal_6,5277,79025,11096
journal_6,5278,103534,14601
journal_6,5279,72299,10333
